City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Severo-Kurilsk,RU,50.6789,156.125,18.27,90,100,19.71,overcast clouds
80,Tuktoyaktuk,CA,69.4541,-133.0374,8.6,92,75,12.66,light snow
81,Menongue,AO,-14.6585,17.691,67.82,73,94,7.78,overcast clouds
82,Tricase,IT,39.9304,18.3553,50.0,93,75,13.8,broken clouds
83,Pisco,PE,-13.7,-76.2167,69.8,83,0,3.44,clear sky
84,Avarua,CK,-21.2078,-159.775,78.8,83,88,5.75,overcast clouds
85,Fairbanks,US,64.8378,-147.7164,14.0,79,75,8.05,broken clouds
86,Les Cayes,HT,18.2,-73.75,74.3,79,100,2.68,overcast clouds
87,Kodiak,US,57.79,-152.4072,35.6,80,75,13.8,light snow
88,East London,ZA,-33.0153,27.9116,66.2,100,90,3.44,light rain
89,Belmonte,BR,-15.8631,-38.8828,75.2,94,90,2.3,overcast clouds
90,Honiara,SB,-9.4333,159.95,82.45,78,100,2.75,moderate rain
91,Itarema,BR,-2.9248,-39.9167,76.57,84,100,9.33,overcast clouds
92,Mataura,NZ,-46.1927,168.8643,57.0,73,89,11.01,overcast clouds
93,Saint Anthony,US,45.0205,-93.218,28.4,86,90,5.75,overcast clouds
94,Faanui,PF,-16.4833,-151.75,81.37,75,0,20.49,clear sky
95,Nenjiang,CN,49.1833,125.2167,-1.35,90,91,0.74,overcast clouds
96,Hommelvik,NO,63.4108,10.7942,19.4,79,0,4.61,clear sky
97,Miguel Hidalgo,MX,19.4225,-99.2028,57.2,54,75,9.22,broken clouds
98,Fort Nelson,CA,58.8053,-122.7002,12.2,92,75,5.88,broken clouds
99,Pasni,PK,25.2631,63.471,68.47,23,0,8.16,clear sky
100,Hare Bay,CA,48.8499,-54.0148,26.6,100,100,5.75,overcast clouds
101,Iqaluit,CA,63.7506,-68.5145,3.2,72,90,8.05,light snow
102,Chara,RU,56.9064,118.2631,-14.12,78,98,0.25,overcast clouds
103,Hofn,IS,64.2539,-15.2082,28.26,87,0,20.58,clear sky
104,Talakan,RU,50.3167,130.3667,-6.93,86,16,0.25,few clouds
105,Nokaneng,BW,-19.6667,22.2667,74.14,71,96,9.46,overcast clouds
106,Aranos,NA,-24.1333,19.1167,68.23,87,100,11.12,light rain
107,La Ronge,CA,55.1001,-105.2842,15.8,92,0,5.75,clear sky
108,El Alto,PE,-4.2714,-81.2147,70.32,78,100,12.41,overcast clouds
109,Upernavik,GL,72.7868,-56.1549,13.42,87,100,10.8,overcast clouds
110,Tilzapotla,MX,18.4833,-99.2667,64.0,67,100,1.61,overcast clouds
111,Lengshuitan,CN,26.4111,111.5956,49.75,39,65,12.03,broken clouds
112,Hambantota,LK,6.1241,81.1185,84.2,79,40,2.3,scattered clouds
113,Grand Gaube,MU,-20.0064,57.6608,86.0,76,12,7.0,light rain
114,Jackson,US,42.4165,-122.8345,39.99,91,100,2.39,overcast clouds
115,Treinta Y Tres,UY,-33.2333,-54.3833,70.93,93,5,9.37,clear sky
116,Tigzirt,DZ,36.8886,4.1198,48.34,78,8,11.01,light rain
117,Geraldton,AU,-28.7667,114.6,86.0,37,0,25.32,clear sky
118,Kahului,US,20.8947,-156.47,75.2,64,40,8.05,scattered clouds
119,Saint George,US,37.1041,-113.5841,34.0,44,1,3.06,clear sky
120,Tual,ID,-5.6667,132.75,84.85,72,100,9.26,moderate rain
121,Arkhangelsk,RU,64.5401,40.5433,-13.0,77,0,6.71,clear sky
122,Silchar,IN,24.8167,92.8,82.54,41,28,3.2,scattered clouds
123,Sembakung,ID,3.8167,117.25,86.0,74,40,8.05,scattered clouds
124,Tasiilaq,GL,65.6145,-37.6368,21.2,63,90,6.91,overcast clouds
125,Nizwa,OM,22.9333,57.5333,69.39,20,0,4.23,clear sky
126,Snezhnogorsk,RU,69.1933,33.2531,-7.6,77,20,2.24,few clouds
127,Isangel,VU,-19.55,169.2667,79.09,84,100,4.94,overcast clouds
128,Sept-Iles,CA,50.2001,-66.3821,14.0,73,10,9.22,clear sky
129,Arraial Do Cabo,BR,-22.9661,-42.0278,75.88,90,100,16.96,overcast clouds
130,Ahipara,NZ,-35.1667,173.1667,65.98,71,3,8.23,clear sky
131,Marrakesh,MA,31.6315,-8.0083,46.4,87,75,9.22,light rain
132,Salalah,OM,17.0151,54.0924,75.2,22,0,9.22,clear sky
133,Ilulissat,GL,69.2167,-51.1,33.8,69,90,17.27,overcast clouds
134,West Wendover,US,40.7391,-114.0733,17.6,79,1,0.81,clear sky
135,Claremorris,IE,53.7167,-9.0,48.0,3,100,11.01,overcast clouds
136,Margate,GB,51.3813,1.3862,41.0,88,66,3.0,broken clouds
137,Port Elizabeth,ZA,-33.918,25.5701,69.8,73,90,10.36,overcast clouds
138,Vanimo,PG,-2.6741,141.3028,83.91,70,100,5.26,overcast clouds
139,Madingou,CG,-4.1536,13.55,75.07,87,89,0.98,overcast clouds
140,Srednekolymsk,RU,67.45,153.6833,-36.18,83,60,0.25,broken clouds
141,Longyearbyen,SJ,78.2186,15.6401,26.6,68,0,12.66,clear sky
142,Kristiansund,NO,63.1115,7.732,28.4,74,0,4.61,clear sky
143,Gujar Khan,PK,33.2558,73.3026,60.8,31,0,7.31,clear sky
144,Eureka,US,40.8021,-124.1637,50.0,93,100,4.79,overcast clouds
145,Chokurdakh,RU,70.6333,147.9167,-34.49,83,0,6.91,clear sky
146,Champoton,MX,19.35,-90.7167,69.1,87,100,9.01,overcast clouds
147,Cabo San Lucas,MX,22.8909,-109.9124,59.0,79,0,1.01,clear sky
148,Ambilobe,MG,-13.2,49.05,83.82,74,81,3.71,moderate rain
149,Kruisfontein,ZA,-34.0033,24.7314,70.0,74,100,3.0,overcast clouds
150,Aras,ES,42.5617,-2.356,37.4,65,20,16.11,few clouds
151,Tommot,RU,58.9564,126.2925,-23.96,83,99,1.45,overcast clouds
152,Cabras,IT,39.93,8.5314,46.99,89,100,4.0,overcast clouds
153,Qaqortoq,GL,60.7167,-46.0333,42.8,36,75,12.66,broken clouds
154,Mahibadhoo,MV,3.7833,72.9667,81.28,73,95,10.51,overcast clouds
155,Moron,AR,-34.6534,-58.6198,68.0,88,90,10.36,light rain
156,Malakal,SS,9.5334,31.6605,84.34,26,10,11.74,clear sky
157,Barrow,US,71.2906,-156.7887,3.2,78,90,14.97,mist
158,Albertville,US,34.2676,-86.2089,39.0,87,40,0.76,scattered clouds
159,Pochutla,MX,15.7432,-96.4661,73.99,89,99,3.0,overcast clouds
160,Constitucion,CL,-35.3333,-72.4167,54.59,88,48,3.96,scattered clouds
161,Sao Luiz Gonzaga,BR,-28.4083,-54.9608,74.23,81,0,7.52,clear sky
162,Sechura,PE,-5.5569,-80.8222,72.34,72,84,10.16,broken clouds
163,Bourne,GB,52.7667,-0.3833,41.0,88,100,3.0,overcast clouds
164,Yumen,CN,40.2833,97.2,26.13,59,0,34.25,clear sky
165,Mount Isa,AU,-20.7333,139.5,93.2,36,40,12.66,scattered clouds
166,Khasan,RU,42.4308,130.6434,18.57,81,100,1.32,overcast clouds
167,Bowen,AU,-20.0167,148.2333,80.6,78,90,16.11,overcast clouds
